chng_type,Type,area_ha
loss,Estuary_2790,12.94115805
gain,Estuary_2809,16.94870168
loss,Estuary_2809,67.99510945
loss,Estuary_2811,0.728628804
gain,Estuary_2815,1.546830804
loss,Estuary_2815,0.713037721
gain,Estuary_2825,4.908869365
loss,Estuary_2825,11.90869634
gain,Estuary_2833,19.36796087
loss,Estuary_2833,0.625907835
gain,Estuary_2836,12.80052898
loss,Estuary_2836,28.95421916
gain,Estuary_286,1.814017201
loss,Estuary_286,0.371913679
gain,Estuary_2865,14.70796729
loss,Estuary_2865,6.508698823
gain,Estuary_2885,2.709767872
loss,Estuary_2885,0.180560664
gain,Estuary_289,0.740474207
loss,Estuary_289,0.633770437
gain,Estuary_291,4.778650345
loss,Estuary_291,0.628725042
gain,Estuary_2937,42.3983562
loss,Estuary_2937,48.50821856
gain,Estuary_2946,67.91932146
loss,Estuary_2946,1.769348761
gain,Estuary_2954,11.36674442
loss,Estuary_2954,0.971399923
gain,Estuary_2967,35.03473415
loss,Estuary_2967,15.31999859
gain,Estuary_2968,0.719035391
loss,Estuary_2968,0.181197641
gain,Estuary_2970,3.033970547
loss,Estuary_2970,0.182040875
gain,Estuary_2975,0.168852516
gain,Estuary_2986,0.083206346
loss,Estuary_2986,1.232088819
gain,Estuary_2987,19.14347907
loss,Estuary_2987,2.31805585
gain,Estuary_2991,13.66843744
loss,Estuary_2991,1.62199461
gain,Estuary_2996,0.187255061
loss,Estuary_2996,0.632924972
gain,Estuary_2997,7.438854653
loss,Estuary_2997,0.248185257
gain,Estuary_30000,5.028783966
loss,Estuary_30000,17.10099947
gain,Estuary_30001,77.1952302
loss,Estuary_30001,83.48933432
gain,Estuary_30002,58.84953383
loss,Estuary_30002,60.5253775
gain,Estuary_30003,442.0001023
loss,Estuary_30003,54.63767948
gain,Estuary_30004,120.1947401
loss,Estuary_30004,28.58999743
gain,Estuary_30005,2.34507724
loss,Estuary_30005,0.98859249
gain,Estuary_30006,92.9575617
loss,Estuary_30006,106.1798347
gain,Estuary_30007,398.8041412
loss,Estuary_30007,270.8609881
gain,Estuary_30008,8.298954361
loss,Estuary_30008,4.986790551
gain,Estuary_30009,2.427224191
loss,Estuary_30009,1.665288634
gain,Estuary_30010,1.096376862
loss,Estuary_30010,0.599532239
gain,Estuary_30011,6.640526374
loss,Estuary_30011,0.685601335
gain,Estuary_30012,2.711494967
loss,Estuary_30012,0.120359221
gain,Estuary_30013,1.879388051
loss,Estuary_30013,3.584750621
gain,Estuary_30014,0.573501714
loss,Estuary_30014,0.38644388
gain,Estuary_30015,2.416353054
loss,Estuary_30015,0.728061311
gain,Estuary_30016,0.000703544
loss,Estuary_30016,0.186929047
gain,Estuary_30017,5.918908293
loss,Estuary_30017,0.315068239
gain,Estuary_30018,0.033186348
loss,Estuary_30018,0.297096222
gain,Estuary_30020,8.260471645
loss,Estuary_30020,10.07687862
gain,Estuary_30021,2028.994335
loss,Estuary_30021,157.160472
gain,Estuary_30022,6.797802442
loss,Estuary_30022,31.6629531
gain,Estuary_30024,0.993599772
loss,Estuary_30024,4.688673424
gain,Estuary_30025,1.159817842
loss,Estuary_30025,2.668403774
gain,Estuary_30026,1.361260671
loss,Estuary_30026,17.02135451
gain,Estuary_30027,1.3902608
loss,Estuary_30027,3.288486331
gain,Estuary_3021,14.0046659
loss,Estuary_3021,4.544843431
gain,Estuary_3023,1.454082342
loss,Estuary_3023,63.13362109
gain,Estuary_3033,16.39740241
loss,Estuary_3033,6.773299151
gain,Estuary_3034,6.98457054
loss,Estuary_3034,0.757808733
gain,Estuary_3035,165.0820183
loss,Estuary_3035,56.41162423
gain,Estuary_3039,6.77353797
loss,Estuary_3039,35.04533884
gain,Estuary_3040,13.17585794
loss,Estuary_3040,32.36573314
loss,Estuary_3070,0.56566929
gain,Estuary_3072,31.13479352
loss,Estuary_3072,44.40308927
gain,Estuary_308,8.229188511
loss,Estuary_308,8.366580931
gain,Estuary_3082,22.15388255
loss,Estuary_3082,100.1302601
gain,Estuary_309,6.654581293
loss,Estuary_309,3.955855367
gain,Estuary_3112,12.88478722
loss,Estuary_3112,7.169077865
gain,Estuary_3115,32.43145993
loss,Estuary_3115,13.30575172
gain,Estuary_3118,63.40636869
loss,Estuary_3118,80.22964592
gain,Estuary_3121,12.74989241
loss,Estuary_3121,3.175827216
gain,Estuary_3126,1912.7703
loss,Estuary_3126,108.0820342
gain,Estuary_3128,10.22684839
loss,Estuary_3128,19.66602114
gain,Estuary_3139,25.99007687
loss,Estuary_3139,14.88023299
gain,Estuary_3154,36.09434383
loss,Estuary_3154,89.09023029
gain,Estuary_3164,12.25452633
loss,Estuary_3164,39.27974019
gain,Estuary_3184,12.49770543
loss,Estuary_3184,42.50164022
gain,Estuary_3191,48.11017923
loss,Estuary_3191,20.18709337
gain,Estuary_3196,15.52179807
loss,Estuary_3196,13.9757084
gain,Estuary_3207,59.25196112
loss,Estuary_3207,126.0951226
gain,Estuary_321,11.44106832
loss,Estuary_321,9.211500302
gain,Estuary_3212,49.35146216
loss,Estuary_3212,10.95473675
gain,Estuary_3214,2.646339429
loss,Estuary_3214,1.929160168
gain,Estuary_3242,63.11246962
loss,Estuary_3242,3.042843153
gain,Estuary_3261,0.488483731
loss,Estuary_3261,1.191160477
gain,Estuary_3269,6.736194818
loss,Estuary_3269,76.36225336
gain,Estuary_3276,0.391968641
loss,Estuary_3276,1.522482725
gain,Estuary_3285,3.499348814
loss,Estuary_3285,1.484255259
gain,Estuary_3288,10.4416379
loss,Estuary_3288,5.550569423
gain,Estuary_3293,0.537101705
loss,Estuary_3293,0.879222524
gain,Estuary_3294,0.484934986
loss,Estuary_3294,0.566499967
gain,Estuary_3303,18.17261876
loss,Estuary_3303,16.45667412
gain,Estuary_3307,44.04412533
loss,Estuary_3307,29.68092628
gain,Estuary_331,9.210129128
loss,Estuary_331,3.879022408
gain,Estuary_3317,0.219113154
loss,Estuary_3317,1.137218154
gain,Estuary_3321,1.233901884
loss,Estuary_3321,0.518780891
gain,Estuary_3327,2.065455246
loss,Estuary_3327,3.385554543
gain,Estuary_3329,21.65881709
loss,Estuary_3329,12.54544425
gain,Estuary_3330,1.749382304
loss,Estuary_3330,0.122382624
gain,Estuary_3351,5.93988358
loss,Estuary_3351,38.84669487
gain,Estuary_3357,556.5186103
loss,Estuary_3357,10.56752015
gain,Estuary_3358,15.22623691
loss,Estuary_3358,3.475839562
gain,Estuary_3367,15.84896223
loss,Estuary_3367,3.566072118
gain,Estuary_3397,0.238980896
loss,Estuary_3397,2.325830965
gain,Estuary_34,0.066720235
loss,Estuary_34,30.57225721
gain,Estuary_3415,218.1242893
loss,Estuary_3415,1.254132723
gain,Estuary_3418,37.81177533
loss,Estuary_3418,37.87964111
gain,Estuary_343,15.82197407
loss,Estuary_343,10.28013521
gain,Estuary_3430,108.3673762
loss,Estuary_3430,20.97393835
gain,Estuary_3442,0.054797983
loss,Estuary_3442,0.746771676
gain,Estuary_3454,13.41590759
loss,Estuary_3454,80.90776015
gain,Estuary_347,9.671824121
loss,Estuary_347,3.14622557
gain,Estuary_3477,1.656339932
loss,Estuary_3477,8.437255449
gain,Estuary_3480,275.0135118
loss,Estuary_3480,12.03650969
gain,Estuary_3509,619.7635765
loss,Estuary_3509,36.0262457
gain,Estuary_354,2.17086861
loss,Estuary_354,0.936333842
gain,Estuary_357,35.53824897
loss,Estuary_357,7.805219107
gain,Estuary_36,7.750844814
loss,Estuary_36,13.74305207
gain,Estuary_3601,0.580508982
loss,Estuary_3601,1.274513035
gain,Estuary_364,2.417302298
loss,Estuary_364,1.258036678
gain,Estuary_3666,0.006934486
loss,Estuary_3666,2.547493857
gain,Estuary_37,7.739526233
loss,Estuary_37,14.95644013
gain,Estuary_3715,47.36048314
loss,Estuary_3715,143.0323332
gain,Estuary_3718,4.502565707
loss,Estuary_3718,5.361118313
gain,Estuary_3729,11.04402962
