chng_type,Type,area_ha
loss,Estuary_1281,146.5366739
gain,Estuary_1283,4.160905023
loss,Estuary_1283,107.9647438
gain,Estuary_1284,50.69617183
loss,Estuary_1284,668.6971001
gain,Estuary_1288,83.39687993
loss,Estuary_1288,228.2998158
gain,Estuary_1293,41.98366537
loss,Estuary_1293,70.27500258
gain,Estuary_1297,5.095369754
loss,Estuary_1297,19.58239524
gain,Estuary_130,0.202317836
loss,Estuary_130,7.340589989
gain,Estuary_1308,207.1921056
loss,Estuary_1308,1465.824023
gain,Estuary_1310,110.7687521
loss,Estuary_1310,791.631989
gain,Estuary_1314,25.09684338
loss,Estuary_1314,280.8160095
gain,Estuary_1315,59.23973499
loss,Estuary_1315,1050.67569
gain,Estuary_1321,79.91712732
loss,Estuary_1321,128.9599549
gain,Estuary_1331,60.23714759
loss,Estuary_1331,427.4437759
gain,Estuary_1338,5.175898468
loss,Estuary_1338,21.0515145
gain,Estuary_1340,37.36483967
loss,Estuary_1340,763.6733928
gain,Estuary_1348,114.8235538
loss,Estuary_1348,222.1024667
gain,Estuary_1351,76.17066383
loss,Estuary_1351,489.9095159
gain,Estuary_1352,5.627420555
loss,Estuary_1352,131.4179326
gain,Estuary_1356,14.56406814
loss,Estuary_1356,114.6846824
gain,Estuary_1367,97.30937181
loss,Estuary_1367,279.3467816
gain,Estuary_1373,9.534377497
loss,Estuary_1373,60.67022205
gain,Estuary_1382,4.102470704
loss,Estuary_1382,38.1832656
gain,Estuary_1402,7.788896708
loss,Estuary_1402,49.17123698
gain,Estuary_141,36.94148326
loss,Estuary_141,40.81011143
gain,Estuary_1419,49.32862568
loss,Estuary_1419,174.9231153
gain,Estuary_1425,43.286134
loss,Estuary_1425,237.8237337
gain,Estuary_1426,37.17566481
loss,Estuary_1426,123.2096936
gain,Estuary_1432,3.219581846
loss,Estuary_1432,74.30585369
gain,Estuary_1440,51.79892606
loss,Estuary_1440,313.5694436
gain,Estuary_1441,0.117545642
loss,Estuary_1441,8.512641421
gain,Estuary_145,28.88114795
loss,Estuary_145,33.75203995
gain,Estuary_1462,9.440562456
loss,Estuary_1462,60.03717579
gain,Estuary_147,0.05106446
